Vehicle ID,Chassis Number,T-Box ID,Battery Type,Derived Status,Customer ID,Dealer ID,Model,Region
267fc161-69b2-4e40-8879-f6609cfbeed0,KALE22A26PR800017,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,d003bb13-cb05-41e1-b133-42dbf8d682ec,01e69e5d-99c3-42f8-b5e0-065ec6fc8333,rc189,
267fc161-69b2-4e40-8879-f6609cfbeed0,KALE22A26PR800017,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,d003bb13-cb05-41e1-b133-42dbf8d682ec,01e69e5d-99c3-42f8-b5e0-065ec6fc8333,rc189,
2d6a813a-3221-46e0-b0d7-7bd35cf35dbf,KALE22A26PR800064,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,e03104ae-28fa-4b7b-b8ea-b5fa08b659cb,f4e42db6-4a4e-4502-81a1-52b6fea0613f,rc189,
2d6a813a-3221-46e0-b0d7-7bd35cf35dbf,KALE22A26PR800064,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,e03104ae-28fa-4b7b-b8ea-b5fa08b659cb,f4e42db6-4a4e-4502-81a1-52b6fea0613f,rc189,
3edd4287-bddf-45a1-be12-86e12c5dba60,KALE22A26PR800104,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,cf2d4921-3245-4ba6-b32f-66412eb346f6,9985bf59-3874-42a1-9724-54dc59246b09,rc189,
3edd4287-bddf-45a1-be12-86e12c5dba60,KALE22A26PR800104,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,cf2d4921-3245-4ba6-b32f-66412eb346f6,9985bf59-3874-42a1-9724-54dc59246b09,rc189,
4fa4ac9c-19e3-43d8-95c5-19857a2fabe0,KALE22A26PR800075,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,787be99e-00bf-49c9-bffe-638c885e4571,01e69e5d-99c3-42f8-b5e0-065ec6fc8333,rc189,
4fa4ac9c-19e3-43d8-95c5-19857a2fabe0,KALE22A26PR800075,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,787be99e-00bf-49c9-bffe-638c885e4571,01e69e5d-99c3-42f8-b5e0-065ec6fc8333,rc189,
58dadedc-9ff4-47f7-8470-e3d6b66603d4,KALE22A26PR800107,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,845bbeb6-4b55-4859-ae80-21f243ea6405,821379e7-15b9-4aee-a5ba-88df2636d484,rc189,
58dadedc-9ff4-47f7-8470-e3d6b66603d4,KALE22A26PR800107,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,845bbeb6-4b55-4859-ae80-21f243ea6405,821379e7-15b9-4aee-a5ba-88df2636d484,rc189,
5c716e89-e04f-4620-b1a3-0769c2727f26,KALE22A26PR800055,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,1ef8cd5d-bcf0-430e-be2d-23d8cec58755,01e69e5d-99c3-42f8-b5e0-065ec6fc8333,rc189,
5c716e89-e04f-4620-b1a3-0769c2727f26,KALE22A26PR800055,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,1ef8cd5d-bcf0-430e-be2d-23d8cec58755,01e69e5d-99c3-42f8-b5e0-065ec6fc8333,rc189,
6d6f1ef4-1b33-4de4-b350-56e3a9b1d0cd,KALE22A26PR800058,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,6c76f68f-2dc0-41e6-b1fd-7b9bb9f219af,f4e42db6-4a4e-4502-81a1-52b6fea0613f,rc189,
6d6f1ef4-1b33-4de4-b350-56e3a9b1d0cd,KALE22A26PR800058,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,6c76f68f-2dc0-41e6-b1fd-7b9bb9f219af,f4e42db6-4a4e-4502-81a1-52b6fea0613f,rc189,
d88eee22-c95a-4d6f-8319-9eddc92999db,KALE22A26PR800051,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,0ca53f25-f40a-40b0-a147-83c53d317896,f4e42db6-4a4e-4502-81a1-52b6fea0613f,rc189,
d88eee22-c95a-4d6f-8319-9eddc92999db,KALE22A26PR800051,,d71d5024-9949-4c4a-9571-ffd78f0583d3,SOLD,0ca53f25-f40a-40b0-a147-83c53d317896,f4e42db6-4a4e-4502-81a1-52b6fea0613f,rc189,
